method,target,tier,overlap
A_carry_forward,2006,25,40.0
A_carry_forward,2006,50,52.0
A_carry_forward,2006,100,61.0
A_carry_forward,2006,150,65.33333333333333
A_carry_forward,2006,200,64.5
A_carry_forward,2006,250,68.0
A_carry_forward,2007,25,36.0
A_carry_forward,2007,50,46.0
A_carry_forward,2007,100,61.0
A_carry_forward,2007,150,64.66666666666667
A_carry_forward,2007,200,67.0
A_carry_forward,2007,250,68.0
A_carry_forward,2008,25,28.0
A_carry_forward,2008,50,50.0
A_carry_forward,2008,100,65.0
A_carry_forward,2008,150,61.333333333333336
A_carry_forward,2008,200,64.5
A_carry_forward,2008,250,67.6
A_carry_forward,2009,25,40.0
A_carry_forward,2009,50,50.0
A_carry_forward,2009,100,62.0
A_carry_forward,2009,150,65.33333333333333
A_carry_forward,2009,200,68.0
A_carry_forward,2009,250,70.4
A_carry_forward,2010,25,44.0
A_carry_forward,2010,50,46.0
A_carry_forward,2010,100,63.0
A_carry_forward,2010,150,67.33333333333333
A_carry_forward,2010,200,73.0
A_carry_forward,2010,250,73.6
A_carry_forward,2011,25,40.0
A_carry_forward,2011,50,52.0
A_carry_forward,2011,100,58.0
A_carry_forward,2011,150,60.666666666666664
A_carry_forward,2011,200,67.0
A_carry_forward,2011,250,72.4
A_carry_forward,2012,25,52.0
A_carry_forward,2012,50,46.0
A_carry_forward,2012,100,61.0
A_carry_forward,2012,150,67.33333333333333
A_carry_forward,2012,200,66.5
A_carry_forward,2012,250,66.4
A_carry_forward,2013,25,56.0
A_carry_forward,2013,50,50.0
A_carry_forward,2013,100,59.0
A_carry_forward,2013,150,62.666666666666664
A_carry_forward,2013,200,67.5
A_carry_forward,2013,250,70.4
A_carry_forward,2014,25,36.0
A_carry_forward,2014,50,58.0
A_carry_forward,2014,100,63.0
A_carry_forward,2014,150,64.66666666666667
A_carry_forward,2014,200,63.5
A_carry_forward,2014,250,63.6
A_carry_forward,2015,25,32.0
A_carry_forward,2015,50,48.0
A_carry_forward,2015,100,55.0
A_carry_forward,2015,150,62.666666666666664
A_carry_forward,2015,200,67.0
A_carry_forward,2015,250,66.4
A_carry_forward,2016,25,48.0
A_carry_forward,2016,50,56.0
A_carry_forward,2016,100,59.0
A_carry_forward,2016,150,63.333333333333336
A_carry_forward,2016,200,65.0
A_carry_forward,2016,250,66.4
A_carry_forward,2017,25,32.0
A_carry_forward,2017,50,62.0
A_carry_forward,2017,100,62.0
A_carry_forward,2017,150,64.0
A_carry_forward,2017,200,64.5
A_carry_forward,2017,250,66.8
A_carry_forward,2018,25,40.0
A_carry_forward,2018,50,50.0
A_carry_forward,2018,100,54.0
A_carry_forward,2018,150,60.0
A_carry_forward,2018,200,64.5
A_carry_forward,2018,250,65.2
A_carry_forward,2019,25,44.0
A_carry_forward,2019,50,46.0
A_carry_forward,2019,100,64.0
A_carry_forward,2019,150,68.0
A_carry_forward,2019,200,69.5
A_carry_forward,2019,250,68.0
A_carry_forward,2020,25,48.0
A_carry_forward,2020,50,52.0
A_carry_forward,2020,100,62.0
A_carry_forward,2020,150,64.66666666666667
A_carry_forward,2020,200,67.5
A_carry_forward,2020,250,70.8
A_carry_forward,2021,25,48.0
A_carry_forward,2021,50,50.0
A_carry_forward,2021,100,62.0
A_carry_forward,2021,150,64.66666666666667
A_carry_forward,2021,200,67.0
A_carry_forward,2021,250,68.0
A_carry_forward,2022,25,48.0
A_carry_forward,2022,50,54.0
A_carry_forward,2022,100,68.0
A_carry_forward,2022,150,66.66666666666667
A_carry_forward,2022,200,70.5
A_carry_forward,2022,250,69.2
A_carry_forward,2023,25,36.0
A_carry_forward,2023,50,44.0
A_carry_forward,2023,100,60.0
A_carry_forward,2023,150,65.33333333333333
A_carry_forward,2023,200,69.0
A_carry_forward,2023,250,68.8
A_carry_forward,2024,25,28.0
A_carry_forward,2024,50,42.0
A_carry_forward,2024,100,60.0
A_carry_forward,2024,150,66.66666666666667
A_carry_forward,2024,200,70.0
A_carry_forward,2024,250,71.2
A_carry_forward,2025,25,48.0
A_carry_forward,2025,50,52.0
A_carry_forward,2025,100,63.0
A_carry_forward,2025,150,66.0
A_carry_forward,2025,200,69.0
A_carry_forward,2025,250,71.2
E1 P(top25),2006,25,40.0
E1 P(top25),2006,50,48.0
E1 P(top25),2006,100,61.0
E1 P(top25),2006,150,66.66666666666667
E1 P(top25),2006,200,68.0
E1 P(top25),2006,250,68.0
E1 P(top25),2007,25,36.0
E1 P(top25),2007,50,46.0
E1 P(top25),2007,100,50.0
E1 P(top25),2007,150,61.333333333333336
E1 P(top25),2007,200,66.5
E1 P(top25),2007,250,68.0
E1 P(top25),2008,25,32.0
E1 P(top25),2008,50,50.0
E1 P(top25),2008,100,59.0
E1 P(top25),2008,150,62.666666666666664
E1 P(top25),2008,200,63.0
E1 P(top25),2008,250,67.6
E1 P(top25),2009,25,52.0
E1 P(top25),2009,50,50.0
E1 P(top25),2009,100,66.0
E1 P(top25),2009,150,64.0
E1 P(top25),2009,200,69.5
E1 P(top25),2009,250,70.4
E1 P(top25),2010,25,52.0
E1 P(top25),2010,50,56.0
E1 P(top25),2010,100,58.0
E1 P(top25),2010,150,70.66666666666667
E1 P(top25),2010,200,74.0
E1 P(top25),2010,250,73.6
E1 P(top25),2011,25,40.0
E1 P(top25),2011,50,42.0
E1 P(top25),2011,100,58.0
E1 P(top25),2011,150,61.333333333333336
E1 P(top25),2011,200,66.5
E1 P(top25),2011,250,72.4
E1 P(top25),2012,25,36.0
E1 P(top25),2012,50,48.0
E1 P(top25),2012,100,62.0
E1 P(top25),2012,150,67.33333333333333
E1 P(top25),2012,200,67.0
E1 P(top25),2012,250,66.4
E1 P(top25),2013,25,36.0
E1 P(top25),2013,50,46.0
E1 P(top25),2013,100,53.0
E1 P(top25),2013,150,62.0
E1 P(top25),2013,200,65.0
E1 P(top25),2013,250,70.4
E1 P(top25),2014,25,44.0
E1 P(top25),2014,50,56.0
E1 P(top25),2014,100,63.0
E1 P(top25),2014,150,62.0
E1 P(top25),2014,200,62.5
E1 P(top25),2014,250,63.6
E1 P(top25),2015,25,44.0
E1 P(top25),2015,50,46.0
E1 P(top25),2015,100,54.0
E1 P(top25),2015,150,55.333333333333336
E1 P(top25),2015,200,63.5
E1 P(top25),2015,250,66.4
E1 P(top25),2016,25,56.0
E1 P(top25),2016,50,64.0
E1 P(top25),2016,100,57.0
E1 P(top25),2016,150,57.333333333333336
E1 P(top25),2016,200,63.5
E1 P(top25),2016,250,66.4
E1 P(top25),2017,25,40.0
E1 P(top25),2017,50,52.0
E1 P(top25),2017,100,60.0
E1 P(top25),2017,150,65.33333333333333
E1 P(top25),2017,200,64.0
E1 P(top25),2017,250,66.8
E1 P(top25),2018,25,48.0
E1 P(top25),2018,50,58.0
E1 P(top25),2018,100,62.0
E1 P(top25),2018,150,64.0
E1 P(top25),2018,200,66.0
E1 P(top25),2018,250,65.2
E1 P(top25),2019,25,32.0
E1 P(top25),2019,50,56.0
E1 P(top25),2019,100,62.0
E1 P(top25),2019,150,63.333333333333336
E1 P(top25),2019,200,69.5
E1 P(top25),2019,250,68.0
E1 P(top25),2020,25,52.0
E1 P(top25),2020,50,60.0
E1 P(top25),2020,100,62.0
E1 P(top25),2020,150,62.0
E1 P(top25),2020,200,67.0
E1 P(top25),2020,250,70.8
E1 P(top25),2021,25,44.0
E1 P(top25),2021,50,46.0
E1 P(top25),2021,100,66.0
E1 P(top25),2021,150,62.0
E1 P(top25),2021,200,65.0
E1 P(top25),2021,250,68.0
E1 P(top25),2022,25,48.0
E1 P(top25),2022,50,64.0
E1 P(top25),2022,100,68.0
E1 P(top25),2022,150,64.0
E1 P(top25),2022,200,68.0
E1 P(top25),2022,250,69.2
E1 P(top25),2023,25,28.0
E1 P(top25),2023,50,48.0
E1 P(top25),2023,100,63.0
E1 P(top25),2023,150,63.333333333333336
E1 P(top25),2023,200,66.0
E1 P(top25),2023,250,68.8
E1 P(top25),2024,25,44.0
E1 P(top25),2024,50,46.0
E1 P(top25),2024,100,60.0
E1 P(top25),2024,150,67.33333333333333
E1 P(top25),2024,200,70.0
E1 P(top25),2024,250,71.2
E1 P(top25),2025,25,36.0
E1 P(top25),2025,50,56.0
E1 P(top25),2025,100,66.0
E1 P(top25),2025,150,64.66666666666667
E1 P(top25),2025,200,71.0
E1 P(top25),2025,250,71.2
E2 P(top50),2006,25,36.0
E2 P(top50),2006,50,44.0
E2 P(top50),2006,100,63.0
E2 P(top50),2006,150,65.33333333333333
E2 P(top50),2006,200,66.5
E2 P(top50),2006,250,68.0
E2 P(top50),2007,25,44.0
E2 P(top50),2007,50,50.0
E2 P(top50),2007,100,56.0
E2 P(top50),2007,150,63.333333333333336
E2 P(top50),2007,200,67.0
E2 P(top50),2007,250,68.0
E2 P(top50),2008,25,36.0
E2 P(top50),2008,50,52.0
E2 P(top50),2008,100,59.0
E2 P(top50),2008,150,61.333333333333336
E2 P(top50),2008,200,63.0
E2 P(top50),2008,250,67.6
E2 P(top50),2009,25,48.0
E2 P(top50),2009,50,50.0
E2 P(top50),2009,100,61.0
E2 P(top50),2009,150,65.33333333333333
E2 P(top50),2009,200,69.5
E2 P(top50),2009,250,70.4
E2 P(top50),2010,25,44.0
E2 P(top50),2010,50,54.0
E2 P(top50),2010,100,66.0
E2 P(top50),2010,150,68.0
E2 P(top50),2010,200,75.5
E2 P(top50),2010,250,73.6
E2 P(top50),2011,25,40.0
E2 P(top50),2011,50,52.0
E2 P(top50),2011,100,56.0
E2 P(top50),2011,150,63.333333333333336
E2 P(top50),2011,200,67.5
E2 P(top50),2011,250,72.4
E2 P(top50),2012,25,32.0
E2 P(top50),2012,50,46.0
E2 P(top50),2012,100,62.0
E2 P(top50),2012,150,64.0
E2 P(top50),2012,200,66.0
E2 P(top50),2012,250,66.4
E2 P(top50),2013,25,44.0
E2 P(top50),2013,50,46.0
E2 P(top50),2013,100,60.0
E2 P(top50),2013,150,62.0
E2 P(top50),2013,200,66.0
E2 P(top50),2013,250,70.4
E2 P(top50),2014,25,44.0
E2 P(top50),2014,50,54.0
E2 P(top50),2014,100,60.0
E2 P(top50),2014,150,59.333333333333336
E2 P(top50),2014,200,62.0
E2 P(top50),2014,250,63.6
E2 P(top50),2015,25,44.0
E2 P(top50),2015,50,50.0
E2 P(top50),2015,100,56.0
E2 P(top50),2015,150,58.0
E2 P(top50),2015,200,64.5
E2 P(top50),2015,250,66.4
E2 P(top50),2016,25,52.0
E2 P(top50),2016,50,68.0
E2 P(top50),2016,100,62.0
E2 P(top50),2016,150,58.0
E2 P(top50),2016,200,63.5
E2 P(top50),2016,250,66.4
E2 P(top50),2017,25,48.0
E2 P(top50),2017,50,58.0
E2 P(top50),2017,100,61.0
E2 P(top50),2017,150,61.333333333333336
E2 P(top50),2017,200,64.5
E2 P(top50),2017,250,66.8
E2 P(top50),2018,25,48.0
E2 P(top50),2018,50,52.0
E2 P(top50),2018,100,61.0
E2 P(top50),2018,150,62.0
E2 P(top50),2018,200,66.5
E2 P(top50),2018,250,65.2
E2 P(top50),2019,25,40.0
E2 P(top50),2019,50,56.0
E2 P(top50),2019,100,61.0
E2 P(top50),2019,150,64.0
E2 P(top50),2019,200,68.5
E2 P(top50),2019,250,68.0
E2 P(top50),2020,25,48.0
E2 P(top50),2020,50,50.0
E2 P(top50),2020,100,62.0
E2 P(top50),2020,150,64.0
E2 P(top50),2020,200,67.0
E2 P(top50),2020,250,70.8
E2 P(top50),2021,25,36.0
E2 P(top50),2021,50,50.0
E2 P(top50),2021,100,65.0
E2 P(top50),2021,150,64.66666666666667
E2 P(top50),2021,200,67.5
E2 P(top50),2021,250,68.0
E2 P(top50),2022,25,36.0
E2 P(top50),2022,50,58.0
E2 P(top50),2022,100,67.0
E2 P(top50),2022,150,66.66666666666667
E2 P(top50),2022,200,68.5
E2 P(top50),2022,250,69.2
E2 P(top50),2023,25,36.0
E2 P(top50),2023,50,44.0
E2 P(top50),2023,100,62.0
E2 P(top50),2023,150,67.33333333333333
E2 P(top50),2023,200,67.5
E2 P(top50),2023,250,68.8
E2 P(top50),2024,25,32.0
E2 P(top50),2024,50,40.0
E2 P(top50),2024,100,62.0
E2 P(top50),2024,150,68.0
E2 P(top50),2024,200,70.0
E2 P(top50),2024,250,71.2
E2 P(top50),2025,25,40.0
E2 P(top50),2025,50,48.0
E2 P(top50),2025,100,66.0
E2 P(top50),2025,150,68.0
E2 P(top50),2025,200,69.5
E2 P(top50),2025,250,71.2
E3 P(top25) + ppr tiebreak,2006,25,40.0
E3 P(top25) + ppr tiebreak,2006,50,48.0
E3 P(top25) + ppr tiebreak,2006,100,61.0
E3 P(top25) + ppr tiebreak,2006,150,66.66666666666667
E3 P(top25) + ppr tiebreak,2006,200,68.0
E3 P(top25) + ppr tiebreak,2006,250,68.0
