pid,player,pos,prev_team,age,proj_ppr,prev_ppr,prev_ppg,prev_g,prev_rk,vbd,vbd_rk,tier,pos_rk
P1263,Sam Darnold,QB,SEA,29,197.8,235.4,13.85,17,35,-43.7,125,3,17
P1509,Rashid Shaheed,WR,2TM,28,107.5,156.6,8.7,18,106,-46.6,126,2,50
P1664,Jayden Higgins,WR,HOU,24,106.7,129.5,7.62,17,129,-47.4,127,2,51
P1588,Tre Tucker,WR,LVR,25,103.6,161.7,9.51,17,101,-50.5,128,2,52
P1619,Kayshon Boutte,WR,NWE,24,103.0,124.1,8.86,14,141,-51.1,129,2,53
P1451,Chuba Hubbard,RB,CAR,27,92.1,125.4,8.36,15,139,-52.0,130,2,36
P1537,Jordan Love,QB,GNB,28,188.1,235.1,15.67,15,36,-53.4,131,3,18
P1192,Kareem Hunt,RB,KAN,31,90.3,145.4,8.55,17,113,-53.8,132,2,37
P1526,Colby Parkinson,TE,LAR,27,76.5,129.8,8.65,15,128,-55.4,133,4,25
P1681,Bhayshul Tuten,RB,JAX,23,87.9,88.6,5.91,15,193,-56.2,134,2,38
P1662,Omarion Hampton,RB,LAC,23,87.6,135.7,15.08,9,121,-56.5,135,2,39
P1324,Daniel Jones,QB,IND,29,182.8,226.4,17.42,13,41,-58.7,136,3,19
P1673,Elic Ayomanor,WR,TEN,23,95.3,116.5,7.28,16,153,-58.8,137,2,54
P1281,Mark Andrews,TE,BAL,31,72.6,131.0,7.71,17,126,-59.3,138,4,26
P1396,Jerry Jeudy,WR,CLE,27,94.4,120.7,7.1,17,146,-59.7,139,2,55
P1679,Gunnar Helm,TE,TEN,24,72.1,91.7,5.73,16,186,-59.8,140,4,27
P1493,Tyler Allgeier,RB,ATL,26,82.8,123.0,7.24,17,143,-61.3,141,2,40
P1671,Kimani Vidal,RB,LAC,25,82.5,117.9,9.07,13,150,-61.6,142,2,41
P1629,Emanuel Wilson,RB,GNB,27,82.4,94.5,5.56,17,179,-61.7,143,2,42
P0981,Zach Ertz,TE,WAS,36,69.6,126.4,9.72,13,135,-62.3,144,4,28
P1557,Tyjae Spears,RB,TEN,25,81.5,111.7,8.59,13,162,-62.6,145,2,43
P1590,Marvin Mims,WR,DEN,24,90.4,93.0,6.2,15,181,-63.7,146,2,56
P1669,Blake Corum,RB,LAR,26,78.8,122.2,7.19,17,144,-65.3,147,2,44
P1689,Isaiah Davis,RB,NYJ,24,78.7,71.2,4.45,16,224,-65.4,148,2,45
P1456,Cole Kmet,TE,CHI,27,64.7,78.7,4.92,16,210,-67.2,149,4,29
P1654,Cam Ward,QB,TEN,24,174.1,186.7,10.98,17,75,-67.4,150,3,20
P0745,Matthew Stafford,QB,LAR,38,173.4,350.4,20.61,17,9,-68.1,151,3,21
P1687,Darnell Washington,TE,PIT,25,63.6,73.4,4.59,16,220,-68.3,152,4,30
P1233,Aaron Jones,RB,MIN,32,75.7,118.7,9.89,12,148,-68.4,153,2,46
P1627,Jalen Nailor,WR,MIN,27,85.0,100.7,5.92,17,171,-69.1,154,2,57
P1623,Jordan Mason,RB,MIN,27,73.6,128.9,8.06,16,130,-70.5,155,2,47
P1567,DeMario Douglas,WR,NWE,26,80.4,95.8,5.64,17,178,-73.7,156,2,58
P1393,J.K. Dobbins,RB,DEN,28,69.6,115.9,11.59,10,155,-74.5,157,2,48
P1355,Dawson Knox,TE,BUF,30,56.9,103.7,6.1,17,166,-75.0,158,4,31
P1563,Dontayvion Wicks,WR,GNB,25,77.9,75.8,5.41,14,214,-76.2,159,2,59
P1677,Tez Johnson,WR,TAM,24,77.3,92.4,5.78,16,183,-76.8,160,2,60
P1691,Matthew Golden,WR,GNB,23,76.5,70.0,5.0,14,229,-77.6,161,2,61
P1539,C.J. Stroud,QB,HOU,25,162.8,208.5,14.89,14,58,-78.7,162,3,22
P1599,KaVontae Turpin,WR,DAL,30,74.8,84.5,5.63,15,205,-79.3,163,2,62
P1632,Jalen Coker,WR,CAR,25,73.8,90.4,8.22,11,188,-80.3,164,2,63
P1682,Adonai Mitchell,WR,2TM,24,72.6,87.9,5.49,16,196,-81.5,165,2,64
P1517,Greg Dulcich,TE,MIA,26,50.2,62.8,6.28,10,244,-81.7,166,4,32
P1008,Mike Evans,WR,TAM,33,71.6,84.8,10.6,8,203,-82.5,167,2,65
P1200,Evan Engram,TE,DEN,32,49.4,102.8,6.42,16,168,-82.5,168,4,33
P1374,Ty Johnson,RB,BUF,29,61.3,100.3,5.9,17,172,-82.8,169,2,49
P1676,Jake Tonges,TE,SFO,27,48.6,93.3,5.49,17,180,-83.3,170,4,34
P1312,Jonnu Smith,TE,PIT,31,47.2,85.2,5.01,17,201,-84.7,171,4,35
P1667,Chimere Dike,WR,TEN,25,68.9,126.1,7.42,17,136,-85.2,172,2,66
P1223,David Njoku,TE,CLE,30,46.3,86.3,7.19,12,199,-85.6,173,4,36
P1196,Jacoby Brissett,QB,ARI,34,155.6,227.4,16.24,14,39,-85.9,174,3,23
P1618,Xavier Legette,WR,CAR,25,67.2,89.3,5.95,15,190,-86.9,175,2,67
P1692,Tre Harris,WR,LAC,24,67.0,69.4,4.08,17,231,-87.1,176,2,68
P1261,Nick Chubb,RB,HOU,31,56.6,88.3,5.89,15,195,-87.5,177,2,50
P1674,Ryan Flournoy,WR,DAL,27,65.8,114.0,7.12,16,158,-88.3,178,2,69
P1354,T.J. Hockenson,TE,MIN,29,43.0,112.8,7.52,15,161,-88.9,179,4,37
P1622,Ray Davis,RB,BUF,27,54.6,64.1,3.77,17,239,-89.5,180,2,51
P1515,Isaiah Likely,TE,BAL,26,41.9,61.7,4.41,14,246,-90.0,181,4,38
P1672,Malik Washington,WR,MIA,25,63.4,116.7,6.86,17,152,-90.7,182,2,70
P1321,Darren Waller,TE,MIA,34,40.8,88.7,9.86,9,192,-91.1,183,4,39
P1498,Isiah Pacheco,RB,KAN,27,50.8,87.3,6.72,13,198,-93.3,184,2,52
P1566,Justice Hill,RB,BAL,29,50.4,65.2,6.52,10,237,-93.7,185,2,53
P1213,Samaje Perine,RB,CIN,31,49.7,77.9,5.19,15,211,-94.4,186,2,54
P1589,Michael Mayer,TE,LVR,25,36.3,73.8,5.68,13,218,-95.6,187,4,40
P1631,Ricky Pearsall,WR,SFO,26,58.3,88.6,9.84,9,194,-95.8,188,2,71
P1341,Noah Fant,TE,CIN,29,35.8,74.8,4.99,15,216,-96.1,189,4,41
P1693,Jaylin Noel,WR,HOU,24,55.9,68.4,4.02,17,233,-98.2,190,2,72
P1336,Marquise Brown,WR,KAN,29,55.7,137.7,8.61,16,119,-98.4,191,2,73
P1697,Davis Allen,TE,LAR,25,33.5,62.8,3.69,17,243,-98.4,192,4,42
P1659,Woody Marks,RB,HOU,26,44.9,151.1,9.44,16,107,-99.2,193,2,55
P1556,Bryce Young,QB,CAR,25,142.2,218.0,13.62,16,49,-99.3,194,3,24
P1686,Pat Bryant,WR,DEN,24,54.7,74.8,4.99,15,217,-99.4,195,2,74
P1620,Andrei Iosivas,WR,CIN,27,54.1,89.9,5.29,17,189,-100.0,196,2,75
P1337,Mike Gesicki,TE,CIN,31,31.5,70.7,5.44,13,226,-100.4,197,4,43
P0671,Aaron Rodgers,QB,PIT,43,140.4,227.1,14.19,16,40,-101.1,198,3,25
P1522,Daniel Bellinger,TE,NYG,26,29.6,59.6,3.72,16,249,-102.3,199,4,44
P1597,Tommy Tremble,TE,CAR,26,29.5,63.9,3.76,17,240,-102.4,200,4,45
P1335,Devin Singletary,RB,NYG,29,41.2,108.8,6.4,17,164,-102.9,201,2,56
P1454,Justin Fields,QB,NYJ,27,138.3,142.7,15.86,9,115,-103.2,202,3,26
P1527,Tyquan Thornton,WR,KAN,26,50.0,80.8,5.77,14,209,-104.1,203,2,76
P1621,Calvin Austin III,WR,PIT,27,49.9,86.2,6.16,14,200,-104.2,204,2,77
P1694,Tory Horton,WR,SEA,24,49.8,65.1,8.14,8,238,-104.3,205,2,78
P1494,Mack Hollins,WR,NWE,33,49.0,113.4,7.56,15,160,-105.1,206,2,79
P1249,Tyler Higbee,TE,LAR,33,26.6,71.1,7.11,10,225,-105.3,207,4,46
P1675,Xavier Hutchinson,WR,HOU,26,48.4,98.0,5.76,17,177,-105.7,208,2,80
P1638,Sean Tucker,RB,TAM,25,38.2,91.4,5.38,17,187,-105.9,209,2,57
P1685,Isaac TeSlaa,WR,DET,24,47.7,75.9,4.46,17,213,-106.4,210,2,81
P1678,Chris Rodriguez,RB,WAS,26,36.6,92.0,7.08,13,185,-107.5,211,2,58
P1444,Michael Carter,RB,ARI,27,36.1,99.0,7.62,13,175,-108.0,212,2,59
P1402,Tua Tagovailoa,QB,MIA,28,133.4,160.7,11.48,14,104,-108.1,213,3,27
P1452,Kalif Raymond,WR,DET,32,45.8,66.8,4.45,15,235,-108.3,214,2,82
P1398,Darnell Mooney,WR,ATL,29,44.6,82.3,5.49,15,207,-109.5,215,2,83
P1698,Devin Neal,RB,NOR,23,33.6,60.0,6.0,10,248,-110.5,216,2,60
