pid,pfr_id,season,week,pos,team,opp,ppr
P0008,OwenTe00,2006,14,WR,DAL,NO,14.6
P0008,OwenTe00,2006,15,WR,DAL,ATL,23.9
P0008,OwenTe00,2006,16,WR,DAL,PHI,10.3
P0008,OwenTe00,2006,17,WR,DAL,DET,23.7
P0008,OwenTe00,2007,1,WR,DAL,NYG,23.7
P0008,OwenTe00,2007,2,WR,DAL,MIA,21.2
P0008,OwenTe00,2007,3,WR,DAL,CHI,22.5
P0008,OwenTe00,2007,4,WR,DAL,LA,6.3
P0008,OwenTe00,2007,5,WR,DAL,BUF,4.5
P0008,OwenTe00,2007,6,WR,DAL,NE,18.6
P0008,OwenTe00,2007,7,WR,DAL,MIN,23.3
P0008,OwenTe00,2007,9,WR,DAL,PHI,33.4
P0008,OwenTe00,2007,10,WR,DAL,NYG,30.5
P0008,OwenTe00,2007,11,WR,DAL,WAS,49.3
P0008,OwenTe00,2007,12,WR,DAL,NYJ,18.5
P0008,OwenTe00,2007,13,WR,DAL,GB,28.6
P0008,OwenTe00,2007,14,WR,DAL,DET,5.1
P0008,OwenTe00,2007,15,WR,DAL,PHI,5.7
P0008,OwenTe00,2007,16,WR,DAL,CAR,15.8
P0008,OwenTe00,2008,1,WR,DAL,CLE,19.7
P0008,OwenTe00,2008,2,WR,DAL,PHI,23.9
P0008,OwenTe00,2008,3,WR,DAL,GB,3.7
P0008,OwenTe00,2008,4,WR,DAL,WAS,21.2
P0008,OwenTe00,2008,5,WR,DAL,CIN,15.5
P0008,OwenTe00,2008,6,WR,DAL,ARI,8.2
P0008,OwenTe00,2008,7,WR,DAL,LA,5.1
P0008,OwenTe00,2008,8,WR,DAL,TB,8.3
P0008,OwenTe00,2008,9,WR,DAL,NYG,12.6
P0008,OwenTe00,2008,11,WR,DAL,WAS,8.8
P0008,OwenTe00,2008,12,WR,DAL,SF,34.3
P0008,OwenTe00,2008,13,WR,DAL,SEA,20.8
P0008,OwenTe00,2008,14,WR,DAL,PIT,12.3
P0008,OwenTe00,2008,15,WR,DAL,NYG,6.8
P0008,OwenTe00,2008,16,WR,DAL,BAL,17.3
P0008,OwenTe00,2008,17,WR,DAL,PHI,17.0
P0008,OwenTe00,2009,1,WR,BUF,NE,6.6
P0008,OwenTe00,2009,2,WR,BUF,TB,15.5
P0008,OwenTe00,2009,3,WR,BUF,NO,0.0
P0008,OwenTe00,2009,4,WR,BUF,MIA,9.0
P0008,OwenTe00,2009,5,WR,BUF,CLE,9.0
P0008,OwenTe00,2009,6,WR,BUF,NYJ,5.2
P0008,OwenTe00,2009,7,WR,BUF,CAR,5.8
P0008,OwenTe00,2009,8,WR,BUF,HOU,17.8
P0008,OwenTe00,2009,10,WR,BUF,TEN,11.5
P0008,OwenTe00,2009,11,WR,BUF,JAX,34.7
P0008,OwenTe00,2009,12,WR,BUF,MIA,20.6
P0008,OwenTe00,2009,13,WR,BUF,NYJ,6.1
P0008,OwenTe00,2009,14,WR,BUF,KC,9.5
P0008,OwenTe00,2009,15,WR,BUF,NE,4.0
P0008,OwenTe00,2009,16,WR,BUF,ATL,7.5
P0008,OwenTe00,2009,17,WR,BUF,IND,16.5
P0008,OwenTe00,2010,1,WR,CIN,NE,12.3
P0008,OwenTe00,2010,2,WR,CIN,BAL,8.7
P0008,OwenTe00,2010,3,WR,CIN,CAR,8.2
P0008,OwenTe00,2010,4,WR,CIN,CLE,38.2
P0008,OwenTe00,2010,5,WR,CIN,TB,23.2
P0008,OwenTe00,2010,7,WR,CIN,ATL,23.8
P0008,OwenTe00,2010,8,WR,CIN,MIA,23.5
P0008,OwenTe00,2010,9,WR,CIN,PIT,36.1
P0008,OwenTe00,2010,10,WR,CIN,IND,10.4
