,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,-additional
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
141,Drake London,ATL,WR,25,1,1,0,0,0,0,0,1,6,6.00,0,4,2,29,14.50,0,0,0,0,,,4,5.5,5.5,4.5,,60,,LondDr00
142,KC Concepcion,CLE,WR,22,1,0,0,0,0,0,0,3,15,5.00,0,5,4,43,10.75,0,1,1,0,,,4,7.8,8.8,5.8,,55,,ConcKC00
143,Josh Downs,IND,WR,25,1,0,0,0,0,0,0,0,0,,0,4,2,37,18.50,0,0,0,0,,,4,5.7,5.7,4.7,,58,,DownJo00
144,Pat Bryant,DEN,WR,24,1,0,0,0,0,0,0,0,0,,0,6,4,42,10.50,0,0,0,0,,,4,8.2,8.2,6.2,,51,,BryaPa00
145,J.K. Dobbins,DEN,RB,28,1,1,0,0,0,0,0,8,36,4.50,0,0,0,0,,0,0,0,0,,,4,3.6,3.6,3.6,,45,,DobbJK00
146,RJ Harvey,DEN,RB,25,1,0,0,0,0,0,0,3,18,6.00,0,4,4,23,5.75,0,0,0,0,,,4,8.1,8.1,6.1,,40,,HarvRJ00
147,MarShawn Lloyd,GNB,RB,25,1,0,0,0,0,0,0,13,37,2.85,0,1,0,0,,0,0,0,0,,,4,3.7,3.7,3.7,,44,,LloyMa00
148,Woody Marks,HOU,RB,26,1,0,0,0,0,0,0,9,42,4.67,0,1,1,-2,-2.00,0,0,0,0,,,4,5.0,5.0,4.5,,42,,MarkWo00
149,Dalton Schultz,HOU,TE,30,1,1,0,0,0,0,0,0,0,,0,8,4,35,8.75,0,0,0,0,,,4,7.5,7.5,5.5,,22,,SchuDa00
150,Brian Thomas,JAX,WR,24,1,1,0,0,0,0,0,0,0,,0,3,3,40,13.33,0,1,0,0,,,4,7.0,7.0,5.5,,53,,ThomBr06
151,Bryce Lance,NOR,WR,24,1,0,0,0,0,0,0,0,0,,0,4,3,42,14.00,0,0,0,0,,,4,7.2,7.2,5.7,,52,,LancBr00
152,Braelon Allen,NYJ,RB,22,1,0,0,0,0,0,0,10,40,4.00,0,1,0,0,,0,0,0,0,,,4,4.0,4.0,4.0,,43,,AlleBr05
153,Wan'Dale Robinson,TEN,WR,25,1,0,0,0,0,0,0,0,0,,0,6,5,38,7.60,0,0,0,0,,,4,8.8,8.8,6.3,,56,,RobiWa01
154,Carnell Tate,TEN,WR,21,1,1,0,0,0,0,0,0,0,,0,6,4,38,9.50,0,0,0,0,,,4,7.8,7.8,5.8,,57,,TateCa00
155,D.K. Metcalf,PIT,WR,29,1,1,0,0,0,0,0,0,0,,0,10,4,40,10.00,0,0,0,0,,,4,8.0,8.0,6.0,,54,,MetcDK00
156,Mike Washington Jr.,LVR,RB,23,1,0,0,0,0,0,0,7,41,5.86,0,0,0,0,,0,0,0,0,,,4,4.1,4.1,4.1,,41,,WashMi00
157,Matthew Stafford,LAR,QB,38,1,1,15,25,155,0,1,2,-1,-0.50,0,0,0,0,,0,0,0,0,,,4,4.1,5.1,5.1,,32,,StafMa00
158,Cooper Kupp,SEA,WR,33,1,1,0,0,0,0,0,0,0,,0,3,2,35,17.50,0,0,0,0,,,4,5.5,5.5,4.5,,61,,KuppCo00
159,Chris Godwin,TAM,WR,30,1,1,0,0,0,0,0,1,3,3.00,0,4,4,40,10.00,0,0,0,0,,,4,8.3,8.3,6.3,,50,,GodwCh00
160,Ted Hurst,TAM,WR,22,1,1,0,0,0,0,0,0,0,,0,3,3,36,12.00,0,0,0,0,,,4,6.6,6.6,5.1,,59,,HursTe00
161,Brian Robinson Jr.,ATL,RB,27,1,0,0,0,0,0,0,9,31,3.44,0,0,0,0,,0,0,0,0,,,3,3.1,3.1,3.1,,48,,RobiBr01
162,AJ Dillon,CAR,RB,28,1,0,0,0,0,0,0,5,28,5.60,0,0,0,0,,0,0,0,0,,,3,2.8,2.8,2.8,,51,,DillAJ00
163,Tommy Tremble,CAR,TE,26,1,1,0,0,0,0,0,0,0,,0,5,3,25,8.33,0,0,0,0,,,3,5.5,5.5,4.0,,29,,TremTo00
164,Darren Waller,CAR,TE,34,1,1,0,0,0,0,0,0,0,,0,2,2,28,14.00,0,0,0,0,,,3,4.8,4.8,3.8,,25,,WallDa01
165,Dohnte Meyers,CIN,WR,26,1,0,0,0,0,0,0,1,10,10.00,0,1,1,18,18.00,0,0,0,0,,,3,3.8,3.8,3.3,,67,,MeyeDo00
166,Jerry Jeudy,CLE,WR,27,1,1,0,0,0,0,0,0,0,,0,4,2,26,13.00,0,0,0,0,,,3,4.6,4.6,3.6,,72,,JeudJe00
167,Raheim Sanders,CLE,RB,24,1,0,0,0,0,0,0,1,1,1.00,0,3,3,25,8.33,0,0,0,0,,,3,5.6,5.6,4.1,,54,,SandRa00
168,Keenan Allen,IND,WR,34,1,0,0,0,0,0,0,0,0,,0,6,6,32,5.33,0,0,0,0,,,3,9.2,9.2,6.2,,64,,AlleKe00
169,Marvin Harrison Jr.,ARI,WR,24,1,1,0,0,0,0,0,0,0,,0,3,1,33,33.00,0,0,0,0,,,3,4.3,4.3,3.8,,62,,HarrMa09
170,George Pickens,DAL,WR,25,1,1,0,0,0,0,0,0,0,,0,6,3,28,9.33,0,0,0,0,,,3,5.8,5.8,4.3,,68,,PickGe00
171,Chris Brooks,GNB,RB,26,1,1,0,0,0,0,0,7,29,4.14,0,1,0,0,,0,0,0,0,,,3,2.9,2.9,2.9,,49,,BrooCh00
172,Xavier Hutchinson,HOU,WR,26,1,0,0,0,0,0,0,0,0,,0,6,3,32,10.67,0,0,0,0,,,3,6.2,6.2,4.7,,65,,HutcXa00
173,Ameer Abdullah,JAX,RB,33,1,0,0,0,0,0,0,4,32,8.00,0,1,1,0,0.00,0,0,0,0,,,3,4.2,4.2,3.7,,47,,AbduAm00
174,Chris Bell,MIA,WR,22,1,0,0,0,0,0,0,0,0,,0,2,1,25,25.00,0,0,0,0,,,3,3.5,3.5,3.0,,76,,BellCh00
175,Malik Washington,MIA,WR,25,1,1,0,0,0,0,0,0,0,,0,8,3,53,17.67,0,1,1,0,,,3,6.3,7.3,4.8,,63,,WashMa00
176,A.J. Brown,NWE,WR,29,1,1,0,0,0,0,0,0,0,,0,4,3,26,8.67,0,0,0,0,,,3,5.6,5.6,4.1,,73,,BrowAJ00
177,Hunter Henry,NWE,TE,32,1,1,0,0,0,0,0,0,0,,0,3,3,26,8.67,0,0,0,0,,,3,5.6,5.6,4.1,,27,,HenrHu00
178,Malachi Fields,NYG,WR,23,1,1,0,0,0,0,0,0,0,,0,4,2,25,12.50,0,0,0,0,,,3,4.5,4.5,3.5,,77,,FielMa00
179,Darnell Mooney,NYG,WR,29,1,0,0,0,0,0,0,0,0,,0,2,2,27,13.50,0,0,0,0,,,3,4.7,4.7,3.7,,69,,MoonDa00
180,Omar Cooper,NYJ,WR,23,1,1,0,0,0,0,0,0,0,,0,1,1,30,30.00,0,0,0,0,,,3,4.0,4.0,3.5,,66,,CoopOm00
181,Gunnar Helm,TEN,TE,24,1,1,0,0,0,0,0,0,0,,0,5,4,28,7.00,0,0,0,0,,,3,6.8,6.8,4.8,,26,,HelmGu00
182,Tony Pollard,TEN,RB,29,1,1,0,0,0,0,0,7,35,5.00,0,2,1,-1,-1.00,0,0,0,0,,,3,4.4,4.4,3.9,,46,,PollTo00
183,Roman Wilson,PIT,WR,25,1,0,0,0,0,0,0,0,0,,0,6,3,26,8.67,0,0,0,0,,,3,5.6,5.6,4.1,,74,,WilsRo02
184,Michael Mayer,LVR,TE,25,1,1,0,0,0,0,0,0,0,,0,7,6,32,5.33,0,0,0,0,,,3,9.2,9.2,6.2,,23,,MayeMi00
185,Jalen Nailor,LVR,WR,27,1,1,0,0,0,0,0,0,0,,0,5,3,27,9.00,0,0,0,0,,,3,5.7,5.7,4.2,,70,,NailJa00
186,Tre Tucker,LVR,WR,25,1,1,0,0,0,0,0,0,0,,0,4,2,27,13.50,0,0,0,0,,,3,4.7,4.7,3.7,,71,,TuckTr00
187,Davante Adams,LAR,WR,34,1,1,0,0,0,0,0,0,0,,0,6,3,26,8.67,0,0,0,0,,,3,5.6,5.6,4.1,,75,,AdamDa01
188,Justice Hill,BAL,RB,29,1,0,0,0,0,0,0,6,18,3.00,0,1,1,10,10.00,0,0,0,0,,,3,3.8,3.8,3.3,,52,,HillJu00
189,Oronde Gadsden II,LAC,TE,23,1,0,0,0,0,0,0,0,0,,0,2,2,32,16.00,0,0,0,0,,,3,5.2,5.2,4.2,,24,,GadsOr01
190,George Holani,SEA,RB,27,1,0,0,0,0,0,0,8,29,3.63,0,1,0,0,,0,0,0,0,,,3,2.9,2.9,2.9,,50,,HolaGe00
191,Cade Otton,TAM,TE,27,1,1,0,0,0,0,0,0,0,,0,5,3,26,8.67,0,0,0,0,,,3,5.6,5.6,4.1,,28,,OttoCa00
192,Rachaad White,WAS,RB,27,1,0,0,0,0,0,0,7,22,3.14,0,2,2,5,2.50,0,0,0,0,,,3,4.7,4.7,3.7,,53,,WhitRa01
193,Jahan Dotson,ATL,WR,26,1,1,0,0,0,0,0,0,0,,0,3,1,19,19.00,0,0,0,0,,,2,2.9,2.9,2.4,,83,,DotsJa00
194,Kenny Pickett,CAR,QB,28,1,0,0,1,0,0,0,1,24,24.00,0,0,0,0,,0,0,0,0,,,2,2.4,2.4,2.4,,33,,PickKe00
195,Drew Sample,CIN,TE,30,1,1,0,0,0,0,0,0,0,,0,3,3,19,6.33,0,0,0,0,,,2,4.9,4.9,3.4,,32,,SampDr00
196,Harold Fannin,CLE,TE,22,1,0,0,0,0,0,0,0,0,,0,3,2,21,10.50,0,0,0,0,,,2,4.1,4.1,3.1,,31,,FannHa00
197,Ryan Flournoy,DAL,WR,27,1,1,0,0,0,0,0,0,0,,0,4,2,22,11.00,0,0,0,0,,,2,4.2,4.2,3.2,,78,,FlouRy00
198,Sione Vaki,DET,RB,25,1,0,0,0,0,0,0,2,7,3.50,0,1,1,11,11.00,0,0,0,0,,,2,2.8,2.8,2.3,,60,,VakiSi00
199,Jayden Reed,GNB,WR,26,1,1,0,0,0,0,0,0,0,,0,7,3,20,6.67,0,0,0,0,,,2,5.0,5.0,3.5,,80,,ReedJa03
200,Kayshon Boutte,HOU,WR,24,1,0,0,0,0,0,0,0,0,,0,2,1,21,21.00,0,0,0,0,,,2,3.1,3.1,2.6,,79,,BoutKa00
201,Marlin Klein,HOU,TE,24,1,0,0,0,0,0,0,0,0,,0,1,1,16,16.00,0,0,0,0,,,2,2.6,2.6,2.1,,36,,KleiMa00
202,Foster Moreau,HOU,TE,29,1,1,0,0,0,0,0,0,0,,0,2,2,15,7.50,0,0,0,0,,,2,3.5,3.5,2.5,,38,,MoreFo00
203,Chris Rodriguez,JAX,RB,26,1,0,0,0,0,0,0,6,23,3.83,0,0,0,0,,0,0,0,0,,,2,2.3,2.3,2.3,,57,,RodrCh00
204,Xavier Worthy,KAN,WR,23,1,1,0,0,0,0,0,0,0,,0,6,3,18,6.00,0,0,0,0,,,2,4.8,4.8,3.3,,84,,WortXa00
205,Greg Dulcich,MIA,TE,26,1,1,0,0,0,0,0,0,0,,0,2,2,18,9.00,0,0,0,0,,,2,3.8,3.8,2.8,,34,,DulcGr00
206,Josh Oliver,MIN,TE,29,1,1,0,0,0,0,0,0,0,,0,4,2,22,11.00,0,0,0,0,,,2,4.2,4.2,3.2,,30,,OlivJo00
207,DeMario Douglas,NWE,WR,26,1,0,0,0,0,0,0,0,0,,0,7,5,20,4.00,0,0,0,0,,,2,7.0,7.0,4.5,,81,,DougDe00
208,Tyjae Spears,TEN,RB,25,1,0,0,0,0,0,0,3,12,4.00,0,4,2,12,6.00,0,0,0,0,,,2,4.4,4.4,3.4,,55,,SpeaTy00
209,Rico Dowdle,PIT,RB,28,1,0,0,0,0,0,0,8,15,1.88,0,5,2,6,3.00,0,0,0,0,,,2,4.1,4.1,3.1,,58,,DowdRi01
210,Darnell Washington,PIT,TE,25,1,1,0,0,0,0,0,0,0,,0,2,2,18,9.00,0,0,0,0,,,2,3.8,3.8,2.8,,35,,WashDa03
211,Ronnie Rivers,LAR,RB,27,1,0,0,0,0,0,0,5,19,3.80,0,1,1,5,5.00,0,0,0,0,,,2,3.4,3.4,2.9,,56,,RiveRo01
212,LaJohntay Wester,BAL,WR,24,1,0,0,0,0,0,0,0,0,,0,2,2,15,7.50,0,0,0,0,,,2,3.5,3.5,2.5,,86,,WestLa01
213,Tre Harris,LAC,WR,24,1,0,0,0,0,0,0,0,0,,0,6,3,20,6.67,0,0,0,0,,,2,5.0,5.0,3.5,,82,,HarrTr03
214,Quentin Johnston,LAC,WR,25,1,1,0,0,0,0,0,0,0,,0,6,2,17,8.50,0,0,0,0,,,2,3.7,3.7,2.7,,85,,JohnQu02
215,Brady Russell,SEA,FB,28,1,1,0,0,0,0,0,0,0,,0,2,2,20,10.00,0,0,0,0,,,2,4.0,4.0,3.0,,59,,RussBr00
216,Luke Farrell,SFO,TE,29,1,0,0,0,0,0,0,0,0,,0,2,2,19,9.50,0,0,0,0,,,2,3.9,3.9,2.9,,33,,FarrLu00
217,Kenneth Gainwell,TAM,RB,27,1,0,0,0,0,0,0,5,15,3.00,0,1,1,3,3.00,0,0,0,0,,,2,2.8,2.8,2.3,,61,,GainKe00
218,Kaytron Allen,WAS,RB,23,1,0,0,0,0,0,0,4,16,4.00,0,0,0,0,,0,0,0,0,,,2,1.6,1.6,1.6,,62,,AlleKa01
219,Chig Okonkwo,WAS,TE,27,1,1,0,0,0,0,0,0,0,,0,3,2,16,8.00,0,0,0,0,,,2,3.6,3.6,2.6,,37,,OkonCh00
220,Olamide Zaccheaus,ATL,WR,29,1,0,0,0,0,0,0,0,0,,0,1,1,5,5.00,0,0,0,0,,,1,1.5,1.5,1.0,,98,,ZaccOl01
221,Dawson Knox,BUF,TE,30,1,1,0,0,0,0,0,0,0,,0,1,1,7,7.00,0,0,0,0,,,1,1.7,1.7,1.2,,52,,KnoxDa00
222,Mitchell Evans,CAR,TE,23,1,0,0,0,0,0,0,0,0,,0,2,1,9,9.00,0,0,0,0,,,1,1.9,1.9,1.4,,48,,EvanMi01
223,Ja'Marr Chase,CIN,WR,26,1,1,0,0,0,0,0,0,0,,0,4,2,12,6.00,0,0,0,0,,,1,3.2,3.2,2.2,,88,,ChasJa00
224,Andrei Iosivas,CIN,WR,27,1,1,0,0,0,0,0,0,0,,0,3,2,12,6.00,0,0,0,0,,,1,3.2,3.2,2.2,,89,,IosiAn00
225,Blake Whiteheart,CLE,TE,26,1,1,0,0,0,0,0,0,0,,0,1,1,14,14.00,0,0,0,0,,,1,2.4,2.4,1.9,,39,,WhitBl01
226,Emari Demercado,DAL,RB,27,1,0,0,0,0,0,0,2,7,3.50,0,0,0,0,,0,0,0,0,,,1,0.7,0.7,0.7,,67,,DemeEm00
227,Jake Ferguson,DAL,TE,27,1,1,0,0,0,0,0,0,0,,0,2,2,6,3.00,0,0,0,0,,,1,2.6,2.6,1.6,,54,,FergJa00
228,Hunter Luepke,DAL,RB,26,1,0,0,0,0,0,0,1,7,7.00,0,0,0,0,,0,0,0,0,,,1,0.7,0.7,0.7,,68,,LuepHu00
229,Jonathan Mingo,DAL,WR,25,1,0,0,0,0,0,0,0,0,,0,1,1,10,10.00,0,0,0,0,,,1,2.0,2.0,1.5,,94,,MingJo00
230,Luke Schoonmaker,DAL,TE,28,1,0,0,0,0,0,0,0,0,,0,1,1,12,12.00,0,0,0,0,,,1,2.2,2.2,1.7,,45,,SchoLu00
231,Brevyn Spann-Ford,DAL,TE,27,1,0,0,0,0,0,0,0,0,,0,2,2,14,7.00,0,0,0,0,,,1,3.4,3.4,2.4,,40,,SpanBr00
232,KaVontae Turpin,DAL,WR,30,1,0,0,0,0,0,0,0,0,,0,1,1,8,8.00,0,0,0,0,,,1,1.8,1.8,1.3,,95,,TurpKa00
233,Troy Franklin,DEN,WR,23,1,0,0,0,0,0,0,1,5,5.00,0,1,0,0,,0,0,0,0,,,1,0.5,0.5,0.5,,99,,FranTr00
234,Courtland Sutton,DEN,WR,31,1,1,0,0,0,0,0,0,0,,0,5,2,11,5.50,0,0,0,0,,,1,3.1,3.1,2.1,,91,,SuttCo00
235,Adam Trautman,DEN,TE,29,1,0,0,0,0,0,0,0,0,,0,3,2,10,5.00,0,0,0,0,,,1,3.0,3.0,2.0,,47,,TrauAd00
236,Brock Wright,DET,TE,28,1,1,0,0,0,0,0,0,0,,0,1,1,5,5.00,0,0,0,0,,,1,1.5,1.5,1.0,,56,,WrigBr01
237,Jared Wayne,HOU,WR,26,1,0,0,0,0,0,0,0,0,,0,1,1,12,12.00,0,0,0,0,,,1,2.2,2.2,1.7,,90,,WaynJa01
238,Nate Boerkircher,JAX,TE,25,1,0,0,0,0,0,0,0,0,,0,1,1,9,9.00,0,0,0,0,,,1,1.9,1.9,1.4,,49,,BoerNa00
239,Travis Hunter,JAX,WR,23,1,1,0,0,0,0,0,1,3,3.00,0,1,1,8,8.00,0,0,0,0,,,1,2.1,2.1,1.6,,92,,HuntTr00
240,Jake Briningstool,KAN,TE,24,1,0,0,0,0,0,0,0,0,,0,1,1,9,9.00,0,0,0,0,,,1,1.9,1.9,1.4,,50,,BrinJa00
241,Noah Gray,KAN,TE,27,1,0,0,0,0,0,0,0,0,,0,1,1,5,5.00,0,0,0,0,,,1,1.5,1.5,1.0,,57,,GrayNo00
242,Corey Kiner,NWE,RB,24,1,0,0,0,0,0,0,6,11,1.83,0,0,0,0,,0,0,0,0,,,1,1.1,1.1,1.1,,64,,KineCo00
243,Lan Larison,NWE,RB,25,1,0,0,0,0,0,0,0,0,,0,2,2,9,4.50,0,0,0,0,,,1,2.9,2.9,1.9,,65,,LariLa00
244,Theo Johnson,NYG,TE,25,1,0,0,0,0,0,0,0,0,,0,1,1,9,9.00,0,0,0,0,,,1,1.9,1.9,1.4,,51,,JohnTh00
245,Isaiah Williams,NYJ,WR,25,1,0,0,0,0,0,0,0,0,,0,1,1,7,7.00,0,0,0,0,,,1,1.7,1.7,1.2,,97,,WillIs03
246,Daniel Bellinger,TEN,TE,26,1,1,0,0,0,0,0,0,0,,0,1,1,7,7.00,0,0,0,0,,,1,1.7,1.7,1.2,,53,,BellDa00
247,Will Shipley,PHI,RB,24,1,0,0,0,0,0,0,2,4,2.00,0,1,1,8,8.00,0,0,0,0,,,1,2.2,2.2,1.7,,63,,ShipWi00
248,Davis Allen,LAR,TE,25,1,0,0,0,0,0,0,0,0,,0,1,1,13,13.00,0,0,0,0,,,1,2.3,2.3,1.8,,41,,AlleDa02
249,Stetson Bennett,LAR,QB,29,1,0,2,3,13,0,0,1,9,9.00,0,0,0,0,,0,0,0,0,,,1,1.4,1.4,1.4,,34,,BennSt00
250,Colby Parkinson,LAR,TE,27,1,1,0,0,0,0,0,0,0,,0,2,1,6,6.00,0,0,0,0,,,1,1.6,1.6,1.1,,55,,ParkCo02
251,Jordan Whittington,LAR,WR,26,1,0,0,0,0,0,0,0,0,,0,1,1,8,8.00,0,1,0,0,,,1,1.8,1.8,1.3,,96,,WhitJo04
252,Matthew Hibner,BAL,TE,24,1,0,0,0,0,0,0,0,0,,0,1,1,13,13.00,0,0,0,0,,,1,2.3,2.3,1.8,,42,,HibnMa00
253,Ja'Kobi Lane,BAL,WR,22,1,0,0,0,0,0,0,0,0,,0,3,1,11,11.00,0,0,0,0,,,1,2.1,2.1,1.6,,93,,LaneJa01
254,Keaton Mitchell,LAC,RB,24,1,0,0,0,0,0,0,4,9,2.25,0,0,0,0,,0,0,0,0,,,1,0.9,0.9,0.9,,66,,MitcKe01
255,AJ Barner,SEA,TE,24,1,1,0,0,0,0,0,0,0,,0,2,2,13,6.50,0,0,0,0,,,1,3.3,3.3,2.3,,43,,BarnAJ00
256,Sam Darnold,SEA,QB,29,1,1,1,2,13,0,0,0,0,,0,0,0,0,,0,0,0,0,,,1,0.5,0.5,0.5,,35,,DarnSa00
257,George Kittle,SFO,TE,33,1,1,0,0,0,0,0,0,0,,0,5,2,12,6.00,0,0,0,0,,,1,3.2,3.2,2.2,,46,,KittGe00
258,John Bates,WAS,TE,29,1,1,0,0,0,0,0,0,0,,0,3,2,13,6.50,0,0,0,0,,,1,3.3,3.3,2.3,,44,,BateJo00
259,Terry McLaurin,WAS,WR,31,1,1,0,0,0,0,0,0,0,,0,4,2,14,7.00,0,0,0,0,,,1,3.4,3.4,2.4,,87,,McLaTe00
260,Chris Blair,ATL,WR,29,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,105,,BlaiCh00
261,Zachariah Branch,ATL,WR,22,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,106,,BranZa00
262,Austin Hooper,ATL,TE,32,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,61,,HoopAu00
263,Nick Muse,ATL,TE,28,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,62,,MuseNi00
264,Kyle Pitts,ATL,TE,26,1,1,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,63,,PittKy00
265,Charlie Woerner,ATL,TE,29,1,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,64,,WoerCh00
266,Keon Coleman,BUF,WR,23,1,0,0,0,0,0,0,0,0,,0,1,1,1,1.00,0,0,0,0,,,,1.1,1.1,0.6,,104,,ColeKe02
267,Ray Davis,BUF,RB,27,1,0,0,0,0,0,0,1,3,3.00,0,0,0,0,,0,0,0,0,,,,0.3,0.3,0.3,,69,,DaviRa04
268,Greg Dortch,BUF,WR,28,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,107,,DortGr01
269,Frank Gore Jr.,BUF,RB,24,1,0,0,0,0,0,0,1,3,3.00,0,0,0,0,,0,0,0,0,,,,0.3,0.3,0.3,,70,,GoreFr01
270,Jackson Hawes,BUF,TE,26,1,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,65,,HaweJa00
271,Keleki Latu,BUF,TE,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,66,,LatuKe00
272,Feleipe Franks,CAR,TE,29,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,67,,FranFe00
273,Xavier Legette,CAR,WR,25,1,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,,,,,,,108,,LegeXa00
274,Brycen Tremayne,CAR,WR,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,109,,TremBr00
275,Kaden Davis,CHI,WR,28,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,110,,DaviKa02
276,Roschon Johnson,CHI,RB,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,76,,JohnRo07
277,Colston Loveland,CHI,TE,22,1,1,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,,,,,,,68,,LoveCo00
278,Sam Roush,CHI,TE,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,69,,RousSa00
279,Zavion Thomas,CHI,WR,22,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,111,,ThomZa05
280,Erick All,CIN,TE,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,70,,AllxEr00
281,Tahj Brooks,CIN,RB,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,77,,BrooTa00
282,Joe Flacco,CIN,QB,41,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,36,,FlacJo00
283,Tanner Hudson,CIN,TE,32,1,0,0,0,0,0,0,0,0,,0,1,1,4,4.00,0,0,0,0,,,,1.4,1.4,0.9,,58,,HudsTa00
284,Colbie Young,CIN,WR,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,112,,YounCo01
285,Isaiah Bond,CLE,WR,22,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,113,,BondIs00
286,Michael Burton,CLE,FB,34,1,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,78,,BurtMi00
287,Malachi Corley,CLE,WR,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,114,,CorlMa00
288,Carsen Ryan,CLE,TE,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,71,,RyanCa00
289,Dylan Sampson,CLE,RB,22,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,79,,SampDy00
290,Tylan Wallace,CLE,WR,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,115,,WallTy00
291,Mo Alie-Cox,IND,TE,33,1,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,72,,AlieMo00
292,Deion Burks,IND,WR,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,116,,BurkDe02
293,Ashton Dulin,IND,WR,29,1,1,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,117,,DuliAs00
294,Seth McGowan,IND,RB,25,1,0,0,0,0,0,0,0,0,,0,1,1,0,0.00,0,0,0,0,,,,1.0,1.0,0.5,,80,,McGoSe01
295,Andrew Ogletree,IND,TE,28,1,1,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,73,,OgleAn00
296,Laquon Treadwell,IND,WR,31,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,118,,TreaLa00
297,Jalen Brooks,ARI,WR,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,119,,BrooJa03
298,Devin Duvernay,ARI,WR,29,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,120,,DuveDe00
299,Simi Fehoko,ARI,WR,29,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,121,,FehoSi00
300,Elijah Higgins,ARI,TE,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,74,,HiggEl00
301,Zonovan Knight,ARI,RB,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,81,,KnigZo00
302,Hunter Long,ARI,TE,28,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,75,,LongHu00
303,Nate Adkins,DEN,TE,27,1,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,76,,AdkiNa00
304,Jonah Coleman,DEN,RB,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,82,,ColeJo00
305,Marvin Mims,DEN,WR,24,1,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,122,,MimsMa00
306,Adam Prentice,DEN,FB,29,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,83,,PrenAd00
