,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,-additional
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
33,Lamar Jackson,BAL,QB,29,1,1,17,25,324,1,0,7,40,5.71,1,0,0,0,,0,1,1,1,,,25,25.0,29.0,25.0,5,6,33,JackLa00
34,Cam Skattebo,NYG,RB,24,1,1,0,0,0,0,0,18,81,4.50,1,0,0,0,,0,1,0,1,,,14,14.1,14.1,14.1,5,13,34,SkatCa00
35,Chase Brown,CIN,RB,26,1,1,0,0,0,0,0,16,56,3.50,1,6,5,22,4.40,0,0,0,1,,,14,18.8,18.8,16.3,5,14,35,BrowCh10
36,Mike Gesicki,CIN,TE,31,1,0,0,0,0,0,0,0,0,,0,7,5,78,15.60,1,0,0,1,,,14,18.8,18.8,16.3,5,4,36,GesiMi00
37,Dontayvion Wicks,PHI,WR,25,1,1,0,0,0,0,0,0,0,,0,4,2,73,36.50,1,0,0,1,,,13,15.3,15.3,14.3,5,12,37,WickDo00
38,Devaughn Vele,NOR,WR,29,1,1,0,0,0,0,0,0,0,,0,9,7,69,9.86,1,0,0,1,,,13,19.9,19.9,16.4,5,13,38,VeleDe00
39,Antonio Williams,WAS,WR,22,1,0,0,0,0,0,0,0,0,,0,4,4,64,16.00,1,0,0,1,,,12,16.4,16.4,14.4,5,14,39,WillAn04
40,Tyler Shough,NOR,QB,27,1,1,35,56,410,3,2,4,8,2.00,0,0,0,0,,0,2,1,0,,,23,23.2,29.2,25.2,4,8,40,ShouTy00
41,Bucky Irving,TAM,RB,24,1,1,0,0,0,0,0,8,45,5.63,1,7,7,48,6.86,0,1,1,1,,,13,20.3,21.3,16.8,4,15,41,IrviBu00
42,Dalton Kincaid,BUF,TE,27,1,1,0,0,0,0,0,0,0,,0,6,5,130,26.00,0,0,0,0,,,13,18.0,21.0,15.5,4,5,42,KincDa00
43,Deebo Samuel,SFO,WR,30,1,0,0,0,0,0,0,1,12,12.00,0,7,6,48,8.00,1,0,0,1,,,12,18.0,18.0,15.0,4,15,43,SamuDe00
44,Denzel Boston,CLE,WR,23,1,1,0,0,0,0,0,0,0,,0,4,2,59,29.50,1,0,0,1,,,12,13.9,13.9,12.9,4,16,44,BostDe00
45,Stefon Diggs,WAS,WR,33,1,1,0,0,0,0,0,0,0,,0,9,4,55,13.75,1,0,0,1,,,12,15.5,15.5,13.5,4,17,45,DiggSt00
46,Kyren Williams,LAR,RB,26,1,1,0,0,0,0,0,11,41,3.73,1,3,3,24,8.00,0,0,0,1,,,13,15.5,15.5,14.0,3,16,46,WillKy02
47,Jacory Croskey-Merritt,WAS,RB,25,1,1,0,0,0,0,0,16,63,3.94,1,1,1,-7,-7.00,0,1,0,1,,,12,12.6,12.6,12.1,3,18,47,CrosJa00
48,Jordan Mason,MIN,RB,27,1,0,0,0,0,0,0,15,59,3.93,1,0,0,0,,0,0,0,1,,,12,11.9,11.9,11.9,3,17,48,MasoJo00
49,Demarcus Robinson,SFO,WR,32,1,0,0,0,0,0,0,0,0,,0,3,2,50,25.00,1,0,0,1,,,11,13.0,13.0,12.0,3,18,49,RobiDe01
50,Mike Evans,SFO,WR,33,1,1,0,0,0,0,0,0,0,,0,7,6,49,8.17,1,0,0,1,,,11,16.9,16.9,13.9,3,19,50,EvanMi00
51,Juwan Johnson,NOR,TE,30,1,1,0,0,0,0,0,0,0,,0,7,3,54,18.00,1,0,0,1,,,11,14.4,14.4,12.9,3,6,51,JohnJu02
52,CeeDee Lamb,DAL,WR,27,1,1,0,0,0,0,0,1,0,0.00,0,8,5,44,8.80,1,0,0,1,,,10,15.4,15.4,12.9,3,20,52,LambCe00
53,Jakobi Meyers,JAX,WR,30,1,1,0,0,0,0,0,1,2,2.00,0,2,2,40,20.00,1,0,0,1,,,10,12.2,12.2,11.2,3,21,53,MeyeJa01
54,Patrick Mahomes,KAN,QB,31,1,1,15,27,184,2,1,7,23,3.29,1,0,0,0,,0,0,0,1,,,22,21.7,22.7,22.7,2,9,54,MahoPa00
55,Brock Purdy,SFO,QB,27,1,1,25,34,205,3,1,5,29,5.80,0,0,0,0,,0,0,0,0,,,21,21.1,22.1,22.1,2,10,55,PurdBr00
56,Pat Freiermuth,PIT,TE,28,1,1,0,0,0,0,0,0,0,,0,5,5,46,9.20,1,0,0,1,,,11,15.6,15.6,13.1,2,7,56,FreiPa00
57,Jeremiyah Love,ARI,RB,21,1,0,0,0,0,0,0,11,41,3.73,1,4,2,9,4.50,0,0,0,1,,,11,13.0,13.0,12.0,2,19,57,LoveJe00
58,Evan Engram,DEN,TE,32,1,0,0,0,0,0,0,0,0,,0,5,4,43,10.75,1,0,0,1,,,10,14.3,14.3,12.3,2,8,58,EngrEv00
59,Matthew Golden,GNB,WR,23,1,1,0,0,0,0,0,0,0,,0,12,6,95,15.83,0,0,0,0,,,10,15.5,15.5,12.5,2,22,59,GoldMa02
