method,target,tier,overlap
A_carry_forward,2006,25,40.0
A_carry_forward,2006,50,52.0
A_carry_forward,2006,100,61.0
A_carry_forward,2006,150,65.33333333333333
A_carry_forward,2006,200,64.5
A_carry_forward,2006,250,68.0
A_carry_forward,2007,25,36.0
A_carry_forward,2007,50,46.0
A_carry_forward,2007,100,61.0
A_carry_forward,2007,150,64.66666666666667
A_carry_forward,2007,200,67.0
A_carry_forward,2007,250,68.0
A_carry_forward,2008,25,28.0
A_carry_forward,2008,50,50.0
A_carry_forward,2008,100,65.0
A_carry_forward,2008,150,61.333333333333336
A_carry_forward,2008,200,64.5
A_carry_forward,2008,250,67.6
A_carry_forward,2009,25,40.0
A_carry_forward,2009,50,50.0
A_carry_forward,2009,100,62.0
A_carry_forward,2009,150,65.33333333333333
A_carry_forward,2009,200,68.0
A_carry_forward,2009,250,70.4
A_carry_forward,2010,25,44.0
A_carry_forward,2010,50,46.0
A_carry_forward,2010,100,63.0
A_carry_forward,2010,150,67.33333333333333
A_carry_forward,2010,200,73.0
A_carry_forward,2010,250,73.6
A_carry_forward,2011,25,40.0
A_carry_forward,2011,50,52.0
A_carry_forward,2011,100,58.0
A_carry_forward,2011,150,60.666666666666664
A_carry_forward,2011,200,67.0
A_carry_forward,2011,250,72.4
A_carry_forward,2012,25,52.0
A_carry_forward,2012,50,46.0
A_carry_forward,2012,100,61.0
A_carry_forward,2012,150,67.33333333333333
A_carry_forward,2012,200,66.5
A_carry_forward,2012,250,66.4
A_carry_forward,2013,25,56.0
A_carry_forward,2013,50,50.0
A_carry_forward,2013,100,59.0
A_carry_forward,2013,150,62.666666666666664
A_carry_forward,2013,200,67.5
A_carry_forward,2013,250,70.4
A_carry_forward,2014,25,36.0
A_carry_forward,2014,50,58.0
A_carry_forward,2014,100,63.0
A_carry_forward,2014,150,64.66666666666667
A_carry_forward,2014,200,63.5
A_carry_forward,2014,250,63.6
A_carry_forward,2015,25,32.0
A_carry_forward,2015,50,48.0
A_carry_forward,2015,100,55.0
A_carry_forward,2015,150,62.666666666666664
A_carry_forward,2015,200,67.0
A_carry_forward,2015,250,66.4
A_carry_forward,2016,25,48.0
A_carry_forward,2016,50,56.0
A_carry_forward,2016,100,59.0
A_carry_forward,2016,150,63.333333333333336
A_carry_forward,2016,200,65.0
A_carry_forward,2016,250,66.4
A_carry_forward,2017,25,32.0
A_carry_forward,2017,50,62.0
A_carry_forward,2017,100,62.0
A_carry_forward,2017,150,64.0
A_carry_forward,2017,200,64.5
A_carry_forward,2017,250,66.8
A_carry_forward,2018,25,40.0
A_carry_forward,2018,50,50.0
A_carry_forward,2018,100,54.0
A_carry_forward,2018,150,60.0
A_carry_forward,2018,200,64.5
A_carry_forward,2018,250,65.2
A_carry_forward,2019,25,44.0
A_carry_forward,2019,50,46.0
A_carry_forward,2019,100,64.0
A_carry_forward,2019,150,68.0
A_carry_forward,2019,200,69.5
A_carry_forward,2019,250,68.0
A_carry_forward,2020,25,48.0
A_carry_forward,2020,50,52.0
A_carry_forward,2020,100,62.0
A_carry_forward,2020,150,64.66666666666667
A_carry_forward,2020,200,67.5
A_carry_forward,2020,250,70.8
A_carry_forward,2021,25,48.0
A_carry_forward,2021,50,50.0
A_carry_forward,2021,100,62.0
A_carry_forward,2021,150,64.66666666666667
A_carry_forward,2021,200,67.0
A_carry_forward,2021,250,68.0
A_carry_forward,2022,25,48.0
A_carry_forward,2022,50,54.0
A_carry_forward,2022,100,68.0
A_carry_forward,2022,150,66.66666666666667
A_carry_forward,2022,200,70.5
A_carry_forward,2022,250,69.2
A_carry_forward,2023,25,36.0
A_carry_forward,2023,50,44.0
A_carry_forward,2023,100,60.0
A_carry_forward,2023,150,65.33333333333333
A_carry_forward,2023,200,69.0
A_carry_forward,2023,250,68.8
A_carry_forward,2024,25,28.0
A_carry_forward,2024,50,42.0
A_carry_forward,2024,100,60.0
A_carry_forward,2024,150,66.66666666666667
A_carry_forward,2024,200,70.0
A_carry_forward,2024,250,71.2
A_carry_forward,2025,25,48.0
A_carry_forward,2025,50,52.0
A_carry_forward,2025,100,63.0
A_carry_forward,2025,150,66.0
A_carry_forward,2025,200,69.0
A_carry_forward,2025,250,71.2
M1_reg (censored=cutoff),2006,25,44.0
M1_reg (censored=cutoff),2006,50,44.0
M1_reg (censored=cutoff),2006,100,64.0
M1_reg (censored=cutoff),2006,150,66.66666666666667
M1_reg (censored=cutoff),2006,200,67.5
M1_reg (censored=cutoff),2006,250,68.0
M1_reg (censored=cutoff),2007,25,36.0
M1_reg (censored=cutoff),2007,50,54.0
M1_reg (censored=cutoff),2007,100,56.0
M1_reg (censored=cutoff),2007,150,60.666666666666664
M1_reg (censored=cutoff),2007,200,68.0
M1_reg (censored=cutoff),2007,250,68.0
M1_reg (censored=cutoff),2008,25,36.0
M1_reg (censored=cutoff),2008,50,46.0
M1_reg (censored=cutoff),2008,100,63.0
M1_reg (censored=cutoff),2008,150,59.333333333333336
M1_reg (censored=cutoff),2008,200,63.0
M1_reg (censored=cutoff),2008,250,67.6
M1_reg (censored=cutoff),2009,25,44.0
M1_reg (censored=cutoff),2009,50,54.0
M1_reg (censored=cutoff),2009,100,64.0
M1_reg (censored=cutoff),2009,150,69.33333333333333
M1_reg (censored=cutoff),2009,200,69.0
M1_reg (censored=cutoff),2009,250,70.4
M1_reg (censored=cutoff),2010,25,44.0
M1_reg (censored=cutoff),2010,50,58.0
M1_reg (censored=cutoff),2010,100,64.0
M1_reg (censored=cutoff),2010,150,66.66666666666667
M1_reg (censored=cutoff),2010,200,74.0
M1_reg (censored=cutoff),2010,250,73.6
M1_reg (censored=cutoff),2011,25,40.0
M1_reg (censored=cutoff),2011,50,48.0
M1_reg (censored=cutoff),2011,100,59.0
M1_reg (censored=cutoff),2011,150,60.666666666666664
M1_reg (censored=cutoff),2011,200,69.5
M1_reg (censored=cutoff),2011,250,72.4
M1_reg (censored=cutoff),2012,25,36.0
M1_reg (censored=cutoff),2012,50,50.0
M1_reg (censored=cutoff),2012,100,64.0
M1_reg (censored=cutoff),2012,150,68.0
M1_reg (censored=cutoff),2012,200,68.0
M1_reg (censored=cutoff),2012,250,66.4
M1_reg (censored=cutoff),2013,25,40.0
M1_reg (censored=cutoff),2013,50,46.0
M1_reg (censored=cutoff),2013,100,55.0
M1_reg (censored=cutoff),2013,150,62.0
M1_reg (censored=cutoff),2013,200,66.5
M1_reg (censored=cutoff),2013,250,70.4
M1_reg (censored=cutoff),2014,25,48.0
M1_reg (censored=cutoff),2014,50,58.0
M1_reg (censored=cutoff),2014,100,63.0
M1_reg (censored=cutoff),2014,150,66.0
M1_reg (censored=cutoff),2014,200,63.5
M1_reg (censored=cutoff),2014,250,63.6
M1_reg (censored=cutoff),2015,25,36.0
M1_reg (censored=cutoff),2015,50,52.0
M1_reg (censored=cutoff),2015,100,56.0
M1_reg (censored=cutoff),2015,150,60.666666666666664
M1_reg (censored=cutoff),2015,200,65.0
M1_reg (censored=cutoff),2015,250,66.4
M1_reg (censored=cutoff),2016,25,48.0
M1_reg (censored=cutoff),2016,50,64.0
M1_reg (censored=cutoff),2016,100,64.0
M1_reg (censored=cutoff),2016,150,60.666666666666664
M1_reg (censored=cutoff),2016,200,62.5
M1_reg (censored=cutoff),2016,250,66.4
M1_reg (censored=cutoff),2017,25,40.0
M1_reg (censored=cutoff),2017,50,58.0
M1_reg (censored=cutoff),2017,100,60.0
M1_reg (censored=cutoff),2017,150,65.33333333333333
M1_reg (censored=cutoff),2017,200,64.5
M1_reg (censored=cutoff),2017,250,66.8
M1_reg (censored=cutoff),2018,25,44.0
M1_reg (censored=cutoff),2018,50,54.0
M1_reg (censored=cutoff),2018,100,58.0
M1_reg (censored=cutoff),2018,150,66.0
M1_reg (censored=cutoff),2018,200,68.0
M1_reg (censored=cutoff),2018,250,65.2
M1_reg (censored=cutoff),2019,25,36.0
M1_reg (censored=cutoff),2019,50,50.0
M1_reg (censored=cutoff),2019,100,64.0
M1_reg (censored=cutoff),2019,150,65.33333333333333
M1_reg (censored=cutoff),2019,200,67.5
M1_reg (censored=cutoff),2019,250,68.0
M1_reg (censored=cutoff),2020,25,40.0
M1_reg (censored=cutoff),2020,50,52.0
M1_reg (censored=cutoff),2020,100,64.0
M1_reg (censored=cutoff),2020,150,68.66666666666667
M1_reg (censored=cutoff),2020,200,69.0
M1_reg (censored=cutoff),2020,250,70.8
M1_reg (censored=cutoff),2021,25,36.0
M1_reg (censored=cutoff),2021,50,52.0
M1_reg (censored=cutoff),2021,100,60.0
M1_reg (censored=cutoff),2021,150,65.33333333333333
M1_reg (censored=cutoff),2021,200,68.0
M1_reg (censored=cutoff),2021,250,68.0
M1_reg (censored=cutoff),2022,25,40.0
M1_reg (censored=cutoff),2022,50,54.0
M1_reg (censored=cutoff),2022,100,68.0
M1_reg (censored=cutoff),2022,150,67.33333333333333
M1_reg (censored=cutoff),2022,200,70.5
M1_reg (censored=cutoff),2022,250,69.2
M1_reg (censored=cutoff),2023,25,36.0
M1_reg (censored=cutoff),2023,50,48.0
M1_reg (censored=cutoff),2023,100,60.0
M1_reg (censored=cutoff),2023,150,68.0
M1_reg (censored=cutoff),2023,200,68.5
M1_reg (censored=cutoff),2023,250,68.8
M1_reg (censored=cutoff),2024,25,40.0
M1_reg (censored=cutoff),2024,50,40.0
M1_reg (censored=cutoff),2024,100,65.0
M1_reg (censored=cutoff),2024,150,68.0
M1_reg (censored=cutoff),2024,200,70.5
M1_reg (censored=cutoff),2024,250,71.2
M1_reg (censored=cutoff),2025,25,48.0
M1_reg (censored=cutoff),2025,50,50.0
M1_reg (censored=cutoff),2025,100,65.0
M1_reg (censored=cutoff),2025,150,66.66666666666667
M1_reg (censored=cutoff),2025,200,72.5
M1_reg (censored=cutoff),2025,250,71.2
M2_reg (censored=0),2006,25,48.0
M2_reg (censored=0),2006,50,44.0
M2_reg (censored=0),2006,100,64.0
M2_reg (censored=0),2006,150,68.0
M2_reg (censored=0),2006,200,67.0
M2_reg (censored=0),2006,250,68.0
M2_reg (censored=0),2007,25,32.0
M2_reg (censored=0),2007,50,52.0
M2_reg (censored=0),2007,100,61.0
M2_reg (censored=0),2007,150,63.333333333333336
M2_reg (censored=0),2007,200,68.0
M2_reg (censored=0),2007,250,68.0
M2_reg (censored=0),2008,25,36.0
M2_reg (censored=0),2008,50,50.0
M2_reg (censored=0),2008,100,62.0
M2_reg (censored=0),2008,150,60.0
M2_reg (censored=0),2008,200,64.0
M2_reg (censored=0),2008,250,67.6
M2_reg (censored=0),2009,25,48.0
M2_reg (censored=0),2009,50,50.0
M2_reg (censored=0),2009,100,64.0
M2_reg (censored=0),2009,150,69.33333333333333
M2_reg (censored=0),2009,200,68.5
M2_reg (censored=0),2009,250,70.4
M2_reg (censored=0),2010,25,48.0
M2_reg (censored=0),2010,50,54.0
M2_reg (censored=0),2010,100,62.0
M2_reg (censored=0),2010,150,68.66666666666667
M2_reg (censored=0),2010,200,74.5
M2_reg (censored=0),2010,250,73.6
M2_reg (censored=0),2011,25,40.0
M2_reg (censored=0),2011,50,50.0
M2_reg (censored=0),2011,100,55.0
M2_reg (censored=0),2011,150,63.333333333333336
M2_reg (censored=0),2011,200,70.0
M2_reg (censored=0),2011,250,72.4
M2_reg (censored=0),2012,25,40.0
M2_reg (censored=0),2012,50,54.0
M2_reg (censored=0),2012,100,62.0
M2_reg (censored=0),2012,150,68.66666666666667
M2_reg (censored=0),2012,200,68.0
M2_reg (censored=0),2012,250,66.4
M2_reg (censored=0),2013,25,36.0
M2_reg (censored=0),2013,50,44.0
M2_reg (censored=0),2013,100,58.0
M2_reg (censored=0),2013,150,64.0
M2_reg (censored=0),2013,200,67.5
M2_reg (censored=0),2013,250,70.4
M2_reg (censored=0),2014,25,44.0
M2_reg (censored=0),2014,50,58.0
M2_reg (censored=0),2014,100,65.0
M2_reg (censored=0),2014,150,63.333333333333336
M2_reg (censored=0),2014,200,63.5
M2_reg (censored=0),2014,250,63.6
M2_reg (censored=0),2015,25,40.0
M2_reg (censored=0),2015,50,54.0
M2_reg (censored=0),2015,100,56.0
M2_reg (censored=0),2015,150,60.0
M2_reg (censored=0),2015,200,65.0
M2_reg (censored=0),2015,250,66.4
M2_reg (censored=0),2016,25,44.0
M2_reg (censored=0),2016,50,68.0
M2_reg (censored=0),2016,100,60.0
M2_reg (censored=0),2016,150,63.333333333333336
M2_reg (censored=0),2016,200,63.5
M2_reg (censored=0),2016,250,66.4
M2_reg (censored=0),2017,25,40.0
M2_reg (censored=0),2017,50,62.0
M2_reg (censored=0),2017,100,63.0
M2_reg (censored=0),2017,150,65.33333333333333
M2_reg (censored=0),2017,200,65.0
M2_reg (censored=0),2017,250,66.8
M2_reg (censored=0),2018,25,48.0
M2_reg (censored=0),2018,50,52.0
