method,target,tier,overlap
A_carry_forward,2016,25,48.0
A_carry_forward,2016,50,56.0
A_carry_forward,2016,100,59.0
A_carry_forward,2016,150,63.333333333333336
A_carry_forward,2016,200,65.0
A_carry_forward,2016,250,66.4
A_carry_forward,2017,25,32.0
A_carry_forward,2017,50,62.0
A_carry_forward,2017,100,62.0
A_carry_forward,2017,150,64.0
A_carry_forward,2017,200,64.5
A_carry_forward,2017,250,66.8
A_carry_forward,2018,25,40.0
A_carry_forward,2018,50,50.0
A_carry_forward,2018,100,54.0
A_carry_forward,2018,150,60.0
A_carry_forward,2018,200,64.5
A_carry_forward,2018,250,65.2
A_carry_forward,2019,25,44.0
A_carry_forward,2019,50,46.0
A_carry_forward,2019,100,64.0
A_carry_forward,2019,150,68.0
A_carry_forward,2019,200,69.5
A_carry_forward,2019,250,68.0
A_carry_forward,2020,25,48.0
A_carry_forward,2020,50,52.0
A_carry_forward,2020,100,62.0
A_carry_forward,2020,150,64.66666666666667
A_carry_forward,2020,200,67.5
A_carry_forward,2020,250,70.8
A_carry_forward,2021,25,48.0
A_carry_forward,2021,50,50.0
A_carry_forward,2021,100,62.0
A_carry_forward,2021,150,64.66666666666667
A_carry_forward,2021,200,67.0
A_carry_forward,2021,250,68.0
A_carry_forward,2022,25,48.0
A_carry_forward,2022,50,54.0
A_carry_forward,2022,100,68.0
A_carry_forward,2022,150,66.66666666666667
A_carry_forward,2022,200,70.5
A_carry_forward,2022,250,69.2
A_carry_forward,2023,25,36.0
A_carry_forward,2023,50,44.0
A_carry_forward,2023,100,60.0
A_carry_forward,2023,150,65.33333333333333
A_carry_forward,2023,200,69.0
A_carry_forward,2023,250,68.8
A_carry_forward,2024,25,28.0
A_carry_forward,2024,50,42.0
A_carry_forward,2024,100,60.0
A_carry_forward,2024,150,66.66666666666667
A_carry_forward,2024,200,70.0
A_carry_forward,2024,250,71.2
A_carry_forward,2025,25,48.0
A_carry_forward,2025,50,52.0
A_carry_forward,2025,100,63.0
A_carry_forward,2025,150,66.0
A_carry_forward,2025,200,69.0
A_carry_forward,2025,250,71.2
boost=1.5,2016,25,48.0
boost=1.5,2016,50,56.0
boost=1.5,2016,100,61.0
boost=1.5,2016,150,63.333333333333336
boost=1.5,2016,200,66.0
boost=1.5,2016,250,69.6
boost=1.5,2017,25,32.0
boost=1.5,2017,50,62.0
boost=1.5,2017,100,63.0
boost=1.5,2017,150,65.33333333333333
boost=1.5,2017,200,66.0
boost=1.5,2017,250,69.2
boost=1.5,2018,25,40.0
boost=1.5,2018,50,50.0
boost=1.5,2018,100,58.0
boost=1.5,2018,150,64.0
boost=1.5,2018,200,67.5
boost=1.5,2018,250,69.2
boost=1.5,2019,25,44.0
boost=1.5,2019,50,46.0
boost=1.5,2019,100,64.0
boost=1.5,2019,150,69.33333333333333
boost=1.5,2019,200,70.5
boost=1.5,2019,250,70.4
boost=1.5,2020,25,48.0
boost=1.5,2020,50,52.0
boost=1.5,2020,100,62.0
boost=1.5,2020,150,66.66666666666667
boost=1.5,2020,200,72.0
boost=1.5,2020,250,74.8
boost=1.5,2021,25,48.0
boost=1.5,2021,50,50.0
boost=1.5,2021,100,64.0
boost=1.5,2021,150,64.0
boost=1.5,2021,200,69.5
boost=1.5,2021,250,71.2
boost=1.5,2022,25,48.0
boost=1.5,2022,50,54.0
boost=1.5,2022,100,70.0
boost=1.5,2022,150,68.66666666666667
boost=1.5,2022,200,72.5
boost=1.5,2022,250,73.2
boost=1.5,2023,25,36.0
boost=1.5,2023,50,44.0
boost=1.5,2023,100,61.0
boost=1.5,2023,150,70.0
boost=1.5,2023,200,71.0
boost=1.5,2023,250,72.8
boost=1.5,2024,25,28.0
boost=1.5,2024,50,42.0
boost=1.5,2024,100,64.0
boost=1.5,2024,150,71.33333333333333
boost=1.5,2024,200,74.0
boost=1.5,2024,250,74.0
boost=1.5,2025,25,48.0
boost=1.5,2025,50,52.0
boost=1.5,2025,100,66.0
boost=1.5,2025,150,68.0
boost=1.5,2025,200,71.0
boost=1.5,2025,250,74.4
all25_A_carry_forward,2001,25,52.0
all25_A_carry_forward,2001,50,52.0
all25_A_carry_forward,2001,100,60.0
all25_A_carry_forward,2001,150,66.0
all25_A_carry_forward,2001,200,66.0
all25_A_carry_forward,2001,250,66.0
all25_A_carry_forward,2002,25,48.0
all25_A_carry_forward,2002,50,62.0
all25_A_carry_forward,2002,100,63.0
all25_A_carry_forward,2002,150,63.333333333333336
all25_A_carry_forward,2002,200,70.0
all25_A_carry_forward,2002,250,66.8
all25_A_carry_forward,2003,25,52.0
all25_A_carry_forward,2003,50,58.0
all25_A_carry_forward,2003,100,67.0
all25_A_carry_forward,2003,150,75.33333333333333
all25_A_carry_forward,2003,200,73.0
all25_A_carry_forward,2003,250,73.2
all25_A_carry_forward,2004,25,36.0
all25_A_carry_forward,2004,50,52.0
all25_A_carry_forward,2004,100,56.0
all25_A_carry_forward,2004,150,63.333333333333336
all25_A_carry_forward,2004,200,68.0
all25_A_carry_forward,2004,250,70.4
all25_A_carry_forward,2005,25,40.0
all25_A_carry_forward,2005,50,50.0
all25_A_carry_forward,2005,100,68.0
all25_A_carry_forward,2005,150,69.33333333333333
all25_A_carry_forward,2005,200,67.5
all25_A_carry_forward,2005,250,70.0
all25_A_carry_forward,2006,25,40.0
all25_A_carry_forward,2006,50,52.0
all25_A_carry_forward,2006,100,61.0
all25_A_carry_forward,2006,150,65.33333333333333
all25_A_carry_forward,2006,200,64.5
all25_A_carry_forward,2006,250,68.0
all25_A_carry_forward,2007,25,36.0
all25_A_carry_forward,2007,50,46.0
all25_A_carry_forward,2007,100,61.0
all25_A_carry_forward,2007,150,64.66666666666667
all25_A_carry_forward,2007,200,67.0
all25_A_carry_forward,2007,250,68.0
all25_A_carry_forward,2008,25,28.0
all25_A_carry_forward,2008,50,50.0
all25_A_carry_forward,2008,100,65.0
all25_A_carry_forward,2008,150,61.333333333333336
all25_A_carry_forward,2008,200,64.5
all25_A_carry_forward,2008,250,67.6
all25_A_carry_forward,2009,25,40.0
all25_A_carry_forward,2009,50,50.0
all25_A_carry_forward,2009,100,62.0
all25_A_carry_forward,2009,150,65.33333333333333
all25_A_carry_forward,2009,200,68.0
all25_A_carry_forward,2009,250,70.4
all25_A_carry_forward,2010,25,44.0
all25_A_carry_forward,2010,50,46.0
all25_A_carry_forward,2010,100,63.0
